Model Name;Species Name
msp_0128.mat;Butyricimonas_virosa
msp_0129.mat;[Clostridium]_sp._CAG:58
msp_0130.mat;Candidatus_Gastranaerophilales_bacterium_x14
msp_0131.mat;Phascolarctobacterium_faecium
msp_0132.mat;Coprobacillus_cateniformis
msp_0133.mat;Coprococcus_sp._2789STDY5608819_/_[Clostridium]_sp._CAG:264
msp_0134.mat;Megamonas_funiformis_==_rupellensis
msp_0135.mat;[Clostridium]_clostridioforme_2
msp_0136.mat;Prevotella_sp._P4-51_&_PA-67_&_P5-64_&_P5-108_&_CAG:474
msp_0137.mat;unclassified_Prevotella
msp_0138.mat;Bifidobacterium_pseudocatenulatum
msp_0139.mat;Coprobacter_fastidiosus
msp_0140.mat;Klebsiella_oxytoca
msp_0141.mat;Blautia_massiliensis
msp_0142.mat;Blautia_sp._CAG:52_&_SG-772_&_sp._2789STDY5834917
msp_0143.mat;Parabacteroides_sp._CAG:409
msp_0144.mat;[Clostridium]_sp._CAG:138
msp_0145.mat;Parasutterella_excrementihominis
msp_0146.mat;msp_0146.mat
msp_0147.mat;msp_0147.mat
msp_0148.mat;msp_0148.mat
msp_0149.mat;unclassified_Bacteroides
msp_0150.mat;msp_0150.mat
msp_0151.mat;Butyricimonas_synergistica_2
msp_0152.mat;[Ruminococcus]_faecis
msp_0153.mat;Erysipelatoclostridium_ramosum
msp_0154.mat;Fusicatenibacter_saccharivorans
msp_0155.mat;Parabacteroides_sp._426-9
msp_0156.mat;unclassified_Parabacteroides
msp_0157.mat;Klebsiella_aerogenes
msp_0158.mat;[Eubacterium]_sp._CAG:252
msp_0159.mat;msp_0159.mat
msp_0160.mat;[Faecalitalea]_sp._UBA637
msp_0161.mat;[Eubacterium]_sp._CAG:248
msp_0162.mat;unclassified_Blautia
msp_0163.mat;Firmicutes_bacterium_CAG:227
msp_0164.mat;[Ruminococcus]_sp._2789STDY5608794_&_sp._2789STDY5834890_/_Firmicutes_bacterium_CAG:56
msp_0165.mat;unclassified_Lachnospiraceae
msp_0166.mat;Bifidobacterium_longum
msp_0167.mat;msp_0167.mat
msp_0168.mat;Firmicutes_bacterium_CAG:194
msp_0169.mat;Roseburia_sp._CAG:197
msp_0170.mat;msp_0170.mat
msp_0171.mat;Blautia_hansenii
msp_0172.mat;Ruthenibacterium_lactatiformans
msp_0173.mat;Christensenellaceae_bacterium_Phil1_&_[Clostridium]_sp._CAG:226
msp_0174.mat;msp_0174.mat
msp_0175.mat;Lachnospiraceae_bacterium_TF01-11_/_[Clostridium]_sp._CAG:122
msp_0176.mat;Prevotella_sp._P4-65_&_P4-76_&_P5-60_&_P5-119_&_P5-125_&_CAG:592
msp_0177.mat;unclassified_Lachnoclostridium
msp_0178.mat;Ruminococcus_sp._A254.MGS-254_&_CAG:254
msp_0179.mat;Coprococcus_eutactus_1
msp_0180.mat;Blautia_coccoides_==_Blautia_producta
msp_0181.mat;unclassified_Marvinbryantia
msp_0182.mat;Firmicutes_bacterium_CAG:424
msp_0183.mat;[Acetobacter]_sp._46_36_&_CAG:267_/_Alphaproteobacteria_bacterium_UBA7083
msp_0184.mat;Culturomica_massiliensis
msp_0185.mat;unclassified_Lachnospiraceae
msp_0186.mat;[Clostridium]_sp._CAG:299
msp_0187.mat;Bacteroides_togonis
msp_0188.mat;Erysipelatoclostridium_sp1
msp_0189.mat;Blautia_sp._CAG:237
msp_0190.mat;Bacteroides_sp._CAG:530
msp_0191.mat;unclassified_Butyricimonas
msp_0192.mat;unclassified_Oscillospiraceae
msp_0193.mat;[Clostridium]_scindens_1
msp_0194.mat;[Clostridium]_sp._42_12_&_CAG:75
msp_0195.mat;Desulfovibrio_piger
msp_0196.mat;Alistipes_shahii
msp_0197.mat;Megasphaera_sp._BL7_&_NM10
msp_0198.mat;Coprobacter_secundus_==_Gabonia_massiliensis
msp_0199.mat;Muribaculaceae_bacterium_sp6
msp_0200.mat;Anaerostipes_caccae
msp_0201.mat;Akkermansia_sp._KLE1605
